"Shoe Number","Wearer Number","Weight(lbs)","Height(ft)"
"121","119","120.0","5.25"
"110","108","175.0","5.58"
"107","105","135.0","5.5"
"125","123","200.0","5.75"
"50","49","150.0","5.916"
"22","22","170.0","6.0833"
"66","65","140.0","5.5"
"79","78","171.2","5.83"
"105","103","184.0","5.83"
"65","64","160.0","5.417"
"80","79","150.0","5.42"
"67","66","161.0","5.333"
"83","82","185.0","5.25"
"127","125","140.0","5.42"
"152","16","165.0","5.83"
"44","43","210.0","5.833"
"19","19","175.0","5.333"
"58","57","160.0","5.25"
"96","94","135.0","5.67"
"41","41","170.0","5.583"
"60","59","140.0","5.75"
"122","120","190.0","5.42"
"2","2","130.0","5.33"
"7","7","143.0","5.583"
"139","137","120.0","5.58"
"31","31","205.0","6.0"
"42","42","170.0","5.833"
"11","11","185.0","5.667"
"97","95","154.0","5.19"
"91","89","145.0","5.5"
"133","131","125.0","5.42"
"6","6","160.0","5.75"
"118","116","170.0","5.75"
"53","52","130.0","5.25"
"63","62","185.0","5.917"
"57","56","230.0","5.833"
"30","30","160.0","5.167"
"89","87","155.0","5.83"
"98","96","179.0","5.33"
"109","107","135.0","5.58"
"34","34","150.0","5.917"
"29","29","200.0","5.917"
"3","3","146.0","5.71"
"99","97","128.0","5.25"
"146","144","130.0","5.42"
"129","127","140.0","5.58"
"55","54","120.0","6.0"
"111","109","120.0","5.25"
"8","8","133.0","5.35"
"14","14","130.0","5.5"
"156","153","165.0","5.92"
"47","46","235.0","5.395"
"126","124","228.0","5.64"
"88","86","223.0","5.33"
"120","118","170.0","5.33"
"101","99","142.5","5.67"
"36","36","150.0","8.5"
"38","38","170.0","5.917"
"75","74","195.0","5.25"
"62","61","160.0","5.333"
"13","13","115.0","5.333"
"78","77","135.0","5.75"
"148","146","160.0","5.67"
"5","5","162.0","5.666"
"45","44","140.0","5.333"
"43","7","145.0","5.667"
"149","147","210.0","6.0"
"106","104","175.0","5.67"
"92","90","100.0","5.17"
"113","111","190.0","5.83"
"84","14","115.0","5.39"
"15","15","160.0","5.83"
"81","80","142.0","5.38"
"142","140","157.0","5.08"
"48","47","153.0","5.833"
"24","24","175.0","5.833"
"90","88","132.0","5.42"
"33","33","161.0","5.333"
"56","55","215.0","5.417"
"77","76","165.0","5.75"
"59","58","147.5","5.167"
"102","100","150.0","5.67"
"64","63","150.0","5.583"
"26","26","130.0","5.75"
"4","4","127.0","5.71"
"82","81","165.0","5.5"
"157","154","150.0","5.42"
"116","114","170.0","5.58"
"137","135","180.0","5.92"
"115","113","215.0","5.92"
"141","139","165.0","5.41"
"123","121","155.0","5.75"
"27","27","160.0","6.0833"
"17","17","120.0","5.15"
"114","112","241.0","5.42"
"144","142","160.0","5.83"
"32","32","135.0","5.667"
"73","72","125.0","5.17"
"160","157","140.0","5.75"
"1","1","220.0","6.25"
"52","51","125.0","5.167"
"85","83","145.0","5.67"
"20","20","225.0","5.417"
"150","148","140.0","5.83"
"37","37","129.0","5.833"
"21","21","165.0","5.25"
"51","50","135.0","5.833"
"138","136","176.37","5.77"
"140","138","135.0","5.5"
"95","93","135.0","5.75"
"39","39","165.0","6.0"
"124","122","136.0","5.35"
"18","18","132.0","5.833"
"76","75","162.0","5.92"
"23","23","115.0","5.25"
"132","130","140.0","5.5"
"86","84","165.0","5.42"
"103","101","159.0","5.833"
"40","40","125.0","5.417"
"46","45","185.0","5.5"
"135","133","215.0","5.25"
"16","16","160.0","5.667"
"104","102","184.0","5.83"
"100","98","201.0","5.24"
"9","9","127.0","5.416"
"143","141","130.0","5.58"
"94","92","130.0","5.58"
"12","12","155.0","5.833"
"131","129","135.0","5.42"
"71","70","180.0","5.5"
"145","143","155.0","5.5"
"159","156","145.0","5.5"
"70","69","180.0","5.67"
"49","48","210.0","5.667"
"54","53","145.0","5.83"
"108","106","150.0","5.58"
"74","73","130.0","5.58"
"68","67","145.0","5.33"
"147","145","145.0","5.33"
"61","60","125.0","5.25"
"28","28","180.0","5.333"
"69","68","120.0","5.42"
"112","110","175.0","5.75"
"130","128","134.0","5.75"
"35","35","160.0","5.583"
"119","117","157.0","5.58"
"72","71","140.0","5.28"
"155","152","175.0","6.25"
"87","85","187.0","5.58"
"128","126","165.0","6.08"
"151","149","170.0","6.08"
"134","132","109.0","5.42"
"10","10","176.37","5.833"
"93","91","147.0","5.33"
"136","134","110.0","5.08"
"153","150","140.0","5.75"
"25","25","172.0","5.167"
"117","115","190.0","5.33"
